[rosmaster.main][INFO] 2024-04-23 10:51:01,108: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-04-23 10:51:01,108: Starting ROS Master Node
[rosmaster.master][INFO] 2024-04-23 10:51:01,778: +PARAM [/mavros/safety_area/p2/x] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,778: +PARAM [/mavros/safety_area/p2/y] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,778: +PARAM [/mavros/safety_area/p2/z] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,778: +PARAM [/mavros/setpoint_accel/send_force] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,778: +PARAM [/mavros/setpoint_attitude/reverse_thrust] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,778: +PARAM [/mavros/setpoint_attitude/use_quaternion] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,778: +SERVICE [/rosout/set_logger_level] /rosout http://hyx020222-ThinkBook-14:35683/
[rosmaster.master][INFO] 2024-04-23 10:51:01,779: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,779: +PARAM [/mavros/setpoint_attitude/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,779: +PARAM [/mavros/setpoint_attitude/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,779: +PARAM [/mavros/setpoint_attitude/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,779: +PARAM [/mavros/setpoint_raw/thrust_scaling] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,779: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,779: +PARAM [/mavros/setpoint_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,779: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,779: +PARAM [/mavros/setpoint_position/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,779: +PARAM [/mavros/setpoint_position/mav_frame] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,779: +PARAM [/mavros/setpoint_velocity/mav_frame] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,779: +PARAM [/mavros/mission/pull_after_gcs] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,779: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,780: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,780: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/orientation] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,780: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/field_of_view] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,780: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/send_tf] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,780: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/sensor_position/x] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,780: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/sensor_position/y] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,780: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/sensor_position/z] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,780: +PARAM [/mavros/distance_sensor/lidarlite_pub/id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,780: +PARAM [/mavros/distance_sensor/lidarlite_pub/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,780: +PARAM [/mavros/distance_sensor/lidarlite_pub/orientation] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,780: +PARAM [/mavros/distance_sensor/lidarlite_pub/field_of_view] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,781: +PARAM [/mavros/distance_sensor/lidarlite_pub/send_tf] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,781: +PARAM [/mavros/distance_sensor/lidarlite_pub/sensor_position/x] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,781: +PARAM [/mavros/distance_sensor/lidarlite_pub/sensor_position/y] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,781: +PARAM [/mavros/distance_sensor/lidarlite_pub/sensor_position/z] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,781: +PARAM [/mavros/distance_sensor/sonar_1_sub/subscriber] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,781: +PARAM [/mavros/distance_sensor/sonar_1_sub/id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,781: +PARAM [/mavros/distance_sensor/sonar_1_sub/orientation] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,781: +PARAM [/mavros/distance_sensor/laser_1_sub/subscriber] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,781: +PARAM [/mavros/distance_sensor/laser_1_sub/id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,782: +PARAM [/mavros/distance_sensor/laser_1_sub/orientation] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,782: +PARAM [/mavros/image/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,782: +PARAM [/mavros/fake_gps/use_mocap] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,782: +PARAM [/mavros/fake_gps/mocap_transform] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,782: +PARAM [/mavros/fake_gps/use_vision] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,782: +PARAM [/mavros/fake_gps/geo_origin/lat] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,782: +PARAM [/mavros/fake_gps/geo_origin/lon] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,782: +SUB [/clock] /rosout http://hyx020222-ThinkBook-14:35683/
[rosmaster.master][INFO] 2024-04-23 10:51:01,782: +PARAM [/mavros/fake_gps/geo_origin/alt] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,782: +PARAM [/mavros/fake_gps/eph] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,783: +PARAM [/mavros/fake_gps/epv] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,783: +PARAM [/mavros/fake_gps/satellites_visible] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,783: +PARAM [/mavros/fake_gps/fix_type] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,783: +PARAM [/mavros/fake_gps/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,783: +PARAM [/mavros/fake_gps/tf/send] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,783: +PUB [/rosout_agg] /rosout http://hyx020222-ThinkBook-14:35683/
[rosmaster.master][INFO] 2024-04-23 10:51:01,783: +PARAM [/mavros/fake_gps/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,784: +PARAM [/mavros/fake_gps/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,784: +PARAM [/mavros/fake_gps/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,784: +PARAM [/mavros/fake_gps/gps_rate] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,784: +PARAM [/mavros/mocap/use_tf] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,784: +PARAM [/mavros/mocap/use_pose] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,784: +PARAM [/mavros/odometry/fcu/odom_parent_id_des] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,784: +PARAM [/mavros/odometry/fcu/odom_child_id_des] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,784: +PARAM [/mavros/px4flow/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,784: +PARAM [/mavros/px4flow/ranger_fov] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,785: +PARAM [/mavros/px4flow/ranger_min_range] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,785: +PARAM [/mavros/px4flow/ranger_max_range] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,785: +PARAM [/mavros/vision_pose/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,785: +PARAM [/mavros/vision_pose/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,785: +PARAM [/mavros/vision_pose/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,785: +PARAM [/mavros/vision_pose/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,785: +PARAM [/mavros/vision_speed/listen_twist] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,785: +PARAM [/mavros/vision_speed/twist_cov] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,785: +SUB [/rosout] /rosout http://hyx020222-ThinkBook-14:35683/
[rosmaster.master][INFO] 2024-04-23 10:51:01,785: +PARAM [/mavros/vibration/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,785: +PARAM [/mavros/wheel_odometry/count] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/wheel_odometry/use_rpm] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/wheel_odometry/wheel0/x] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/wheel_odometry/wheel0/y] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/wheel_odometry/wheel0/radius] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/wheel_odometry/wheel1/x] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/wheel_odometry/wheel1/y] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/wheel_odometry/wheel1/radius] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/wheel_odometry/send_raw] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/wheel_odometry/send_twist] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/wheel_odometry/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/wheel_odometry/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/wheel_odometry/vel_error] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/wheel_odometry/tf/send] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/wheel_odometry/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/wheel_odometry/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/plugin_blacklist] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/plugin_whitelist] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/fcu_url] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/gcs_url] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/target_system_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/mavros/target_component_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,786: +PARAM [/px4_pos_estimator/input_source] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_estimator/rate_hz] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_estimator/offset_x] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_estimator/offset_y] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_estimator/offset_z] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_controller/control/controller_type] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_controller/control/enable_external_control] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_controller/control/Takeoff_height] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_controller/control/Land_speed] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_controller/control/Disarm_height] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_controller/control/location_source] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_controller/control/maximum_safe_vel_xy] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_controller/control/maximum_safe_vel_z] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_controller/control/maximum_vel_error_for_vision] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_controller/geo_fence/x_min] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_controller/geo_fence/x_max] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_controller/geo_fence/y_min] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_controller/geo_fence/y_max] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_controller/geo_fence/z_min] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/px4_pos_controller/geo_fence/z_max] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/terminal_control/control/controller_type] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/terminal_control/control/enable_external_control] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,787: +PARAM [/terminal_control/control/Takeoff_height] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/terminal_control/control/Land_speed] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/terminal_control/control/Disarm_height] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/terminal_control/control/location_source] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/terminal_control/control/maximum_safe_vel_xy] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/terminal_control/control/maximum_safe_vel_z] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/terminal_control/control/maximum_vel_error_for_vision] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/terminal_control/geo_fence/x_min] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/terminal_control/geo_fence/x_max] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/terminal_control/geo_fence/y_min] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/terminal_control/geo_fence/y_max] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/terminal_control/geo_fence/z_min] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/terminal_control/geo_fence/z_max] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/octomap_server/resolution] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/octomap_server/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/octomap_server/sensor_model/max_range] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/subscribe_depth] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/subscribe_rgb] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/subscribe_rgbd] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/subscribe_stereo] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/subscribe_scan] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/subscribe_scan_cloud] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/subscribe_scan_descriptor] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/subscribe_user_data] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/map_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/odom_frame_id_init] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/publish_tf] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/initial_pose] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/gen_scan] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/loc_thr] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/ground_truth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,788: +PARAM [/rtabmap/rtabmap/ground_truth_base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/odom_tf_angular_variance] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/odom_tf_linear_variance] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/odom_sensor_sync] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/wait_for_transform_duration] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/database_path] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/approx_sync] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/config_path] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/queue_size] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/scan_cloud_max_points] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/landmark_linear_variance] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/landmark_angular_variance] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/gen_depth] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/gen_depth_decimation] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/gen_depth_fill_holes_size] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/gen_depth_fill_iterations] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/gen_depth_fill_holes_error] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/Mem/IncrementalMemory] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/rtabmap/rtabmap/Mem/InitWMWithAllNodes] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/dyn_planner_node/sdf_map/SDF_MODE] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/dyn_planner_node/sdf_map/origin_x] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/dyn_planner_node/sdf_map/origin_y] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/dyn_planner_node/sdf_map/origin_z] by /roslaunch
[rosmaster.master][INFO] 2024-04-23 10:51:01,789: +PARAM [/dyn_planner_node/sdf_map/map_size_x] by /roslaunch
